content,label
"This product changed my life, I love it!",positive
"Extremely poor customer service, very disappointed.",negative
Highly recommend to everyone looking for quality.,positive
"Terrible experience, would not buy again.",negative
"Efficient, reliable and worth every penny.",positive
"Package arrived broken, not happy at all.",negative
"Everything works as expected, great job!",positive
Support team was rude and unhelpful.,negative
User-friendly interface and easy setup.,positive
"Item never arrived, total scam!",negative
Amazing value for the price.,positive
Unusable after the first update.,negative
Great support and fast delivery.,positive
"Not what I expected, low quality.",negative
"Wonderful service, thank you!",positive
Poorly packaged and missing parts.,negative
Flawless from start to finish.,positive
"Terrible software, constant crashes.",negative
Extremely satisfied with this purchase.,positive
Waste of money.,negative
